ICAO	Latitude	Longitude
EDCG	0.000	0.000
EDCI	0.000	0.000
EDCJ	0.000	0.000
EDCK	51.721	11.962
EDCM	51.296	14.129
EDCN	0.000	0.000
EDCQ	0.000	0.000
EDCR	0.000	0.000
EDCS	0.000	0.000
EDCU	0.000	0.000
EDCV	0.000	0.000
EDCW	0.000	0.000
EDCX	0.000	0.000
EDDB	52.380	13.523
EDDC	51.133	13.767
EDDD	0.000	0.000
EDDE	50.980	10.958
EDDF	50.026	8.543
EDDG	52.134	7.685
EDDH	53.630	9.988
EDDI	52.473	13.404
EDDK	50.866	7.143
EDDL	51.289	6.767
EDDM	48.354	11.786
EDDN	49.499	11.078
EDDP	51.424	12.236
EDDR	49.214	7.109
EDDS	48.690	9.222
EDDT	52.559	13.287
EDDV	52.461	9.685
EDDW	53.047	8.787
EDDZ	0.000	0.000
EDEH	0.000	0.000
EDEL	0.000	0.000
EDEM	0.000	0.000
EDEN	0.000	0.000
EDEW	0.000	0.000
EDFA	0.000	0.000
EDFB	0.000	0.000
EDFC	0.000	0.000
EDFD	0.000	0.000
EDFE	49.961	8.644
EDFF	0.000	0.000
EDFG	0.000	0.000
EDFH	49.950	7.264
EDFI	0.000	0.000
EDFJ	0.000	0.000
EDFK	0.000	0.000
EDFL	0.000	0.000
EDFM	49.473	8.514
EDFN	0.000	0.000
EDFO	0.000	0.000
EDFP	0.000	0.000
EDFQ	51.035	8.679
EDFR	0.000	0.000
EDFS	0.000	0.000
EDFT	0.000	0.000
EDFU	0.000	0.000
EDFV	49.606	8.368
EDFW	0.000	0.000
EDFX	0.000	0.000
EDFY	0.000	0.000
EDFZ	49.969	8.147
EDGA	0.000	0.000
EDGB	0.000	0.000
EDGE	50.993	10.473
EDGF	0.000	0.000
EDGH	0.000	0.000
EDGI	0.000	0.000
EDGJ	0.000	0.000
EDGK	0.000	0.000
EDGL	0.000	0.000
EDGM	0.000	0.000
EDGN	0.000	0.000
EDGO	0.000	0.000
EDGP	0.000	0.000
EDGQ	0.000	0.000
EDGR	0.000	0.000
EDGS	50.708	8.082
EDGT	0.000	0.000
EDGU	0.000	0.000
EDGW	0.000	0.000
EDGX	0.000	0.000
EDGZ	0.000	0.000
EDHB	0.000	0.000
EDHC	0.000	0.000
EDHE	0.000	0.000
EDHI	53.535	9.835
EDHJ	0.000	0.000
EDHK	54.379	10.145
EDHL	53.805	10.719
EDHM	0.000	0.000
EDHN	0.000	0.000
EDHO	0.000	0.000
EDHS	0.000	0.000
EDHU	0.000	0.000
EDHW	0.000	0.000
EDHX	0.000	0.000
EDII	0.000	0.000
EDKA	50.823	6.187
EDKB	0.000	0.000
EDKD	0.000	0.000
EDKF	0.000	0.000
EDKH	0.000	0.000
EDKI	0.000	0.000
EDKL	0.000	0.000
EDKM	0.000	0.000
EDKN	0.000	0.000
EDKO	0.000	0.000
EDKP	0.000	0.000
EDKR	0.000	0.000
EDKU	0.000	0.000
EDKV	50.406	6.528
EDKW	0.000	0.000
EDKZ	51.099	7.602
EDLA	51.483	7.899
EDLB	0.000	0.000
EDLC	51.530	6.537
EDLD	0.000	0.000
EDLE	51.401	6.936
EDLF	0.000	0.000
EDLH	0.000	0.000
EDLI	0.000	0.000
