ICAO,IATA,NOM,TAILLE,PAYS,CITE
GASK,KSS,Sikasso,Smallairport, Mali, Sikasso
HSKI,KST,Kosti,Smallairport, Sudan, Kosti
ENKB,KSU,Kristiansund (Kvernberget),Mediumairport, Norway, Kvernberget
YSPV,KSV,Springvale,Smallairport, Australia,
LLKS,KSW,Kiryat Shmona,Smallairport, Israel, Kiryat Shmona
AYYR,KSX,Yasuru,Smallairport, Papua New Guinea, Yasuru
LTCF,KSY,Kars,Mediumairport, Turkey, Kars
ULKK,KSZ,Kotlas,Mediumairport, Russia, Kotlas
YPKA,KTA,Karratha,Mediumairport, Australia, Karratha
KTB,KTB,Thorne Bay,Seaplanebase, United States, Thorne Bay
,KTC,Katiola,Closed, Côte d'Ivoire, Katiola
RORK,KTD,Kitadaito,Mediumairport, Japan, Kitadaitōjima
WMKE,KTE,Kerteh,Mediumairport, Malaysia, Kerteh
NZTK,KTF,Takaka,Smallairport, New Zealand,
WIOK,KTG,Ketapang(Rahadi Usman),Mediumairport, Indonesia, Ketapang-Borneo Island
VDKT,KTI,Kratie,Smallairport, Cambodia, Kratie
,KTK,Kunua,Closed, Papua New Guinea, Kunua
HKKT,KTL,Kitale,Mediumairport, Kenya, Kitale
VNKT,KTM,Tribhuvan International,Mediumairport, Nepal, Kathmandu
PAKT,KTN,Ketchikan International,Mediumairport, United States, Ketchikan
SYKT,KTO,Kato,Smallairport, Guyana, Kato
MKTP,KTP,Tinson Pen,Mediumairport, Jamaica, Tinson Pen
EFIT,KTQ,Kitee,Mediumairport, Finland,
YPTN,KTR,Tindal,Mediumairport, Australia,
PFKT,KTS,Brevig Mission,Smallairport, United States, Brevig Mission
EFKT,KTT,Kittilä,Mediumairport, Finland, Kittilä
VIKO,KTU,Kota,Mediumairport, India, Kota
SVKM,KTV,Kamarata,Smallairport, Venezuela, Kamarata
EPKT,KTW,Katowice International,Largeairport, Poland, Katowice
GAKO,KTX,Koutiala,Smallairport, Mali, Koutiala
VCCN,KTY,Katukurunda Air Force Base,Smallairport, Sri Lanka, Kalutara
,KTZ,Kwun Tong,Closed, Hong Kong, Kwun Tong
WMKD,KUA,Kuantan,Mediumairport, Malaysia, Kuantan
NGKT,KUC,Kuria,Smallairport, Kiribati, Kuria
WBKT,KUD,Kudat,Smallairport, Malaysia, Kudat
AGKU,KUE,Kukudu,Smallairport, Solomon Islands, Kolombangara Island
UWWW,KUF,Kurumoch International,Largeairport, Russia, Samara
YKUB,KUG,Kubin,Smallairport, Australia, Moa Island
RJCK,KUH,Kushiro,Mediumairport, Japan, Kushiro
,KUI,Kawau Island,Closed, New Zealand, Kawau Island
,KUJ,Kushimoto,Closed, Japan, Kushimoto
PFKA,KUK,Kasigluk,Smallairport, United States, Kasigluk
WMKK,KUL,Kuala Lumpur International,Largeairport, Malaysia, Kuala Lumpur
RJFC,KUM,Yakushima,Mediumairport, Japan, Yakushima
EYKA,KUN,Kaunas International,Mediumairport, Lithuania, Kaunas
EFKU,KUO,Kuopio,Mediumairport, Finland, Kuopio / Siilinjärvi
,KUP,Kupiano,Smallairport, Papua New Guinea, Kupiano
AYKU,KUQ,Kuri,Smallairport, Papua New Guinea, Kuri
,KUR,Kuran-O-Munjan,Closed, Afghanistan, Kuran-O-Munjan
BGKK,KUS,Kulusuk,Smallairport, Greenland, Kulusuk
UGKO,KUT,Kopitnari,Mediumairport, Georgia, Kutaisi
VIBR,KUU,Kullu Manali,Mediumairport, India,
RKJK,KUV,Kunsan Air Base,Largeairport, South Korea, Kunsan
,KUW,Kugururok River,Closed, Papua New Guinea, Kugururok River
AYUY,KUX,Kuyol,Smallairport, Papua New Guinea,
AYKS,KUY,Kamusi,Smallairport, Papua New Guinea, Kamusi
LGKV,KVA,Alexander the Great International,Mediumairport, Greece, Kavala
ESGR,KVB,Skövde,Mediumairport, Sweden, Skövde
PAVC,KVC,King Cove,Smallairport, United States, King Cove
UBBG,KVD,Ganja,Mediumairport, Azerbaijan, Ganja
,KVE,Kitava,Closed, Papua New Guinea, Kitava Island
AYKV,KVG,Kavieng,Mediumairport, Papua New Guinea, Kavieng
ULMK,KVK,Kirovsk-Apatity,Smallairport, Russia, Apatity
PAVL,KVL,Kivalina,Mediumairport, United States, Kivalina
UHMO,KVM,Markovo,Smallairport, Russia, Markovo
,KVU,Korolevu,Closed, Fiji, Korolevu
USKK,KVX,Pobedilovo,Mediumairport, Russia, Kirov
PKWA,KWA,Bucholz Army Air Field,Mediumairport, Marshall Islands, Kwajalein
,KWB,Dewadaru,Closed, Indonesia, Karimunjawa-Karimunjawa Island
,KWD,Kawadjia,Closed, Central African Republic, Kawadjia
ZUGY,KWE,Longdongbao,Largeairport, China, Guiyang
KWF,KWF,Waterfall,Seaplanebase, United States, Waterfall
UKDR,KWG,Kryvyi Rih International,Mediumairport, Ukraine, Kryvyi Rih
OAHN,KWH,Khwahan,Smallairport, Afghanistan, Khwahan
OKBK,KWI,Kuwait International,Largeairport, Kuwait, Kuwait City
RKJJ,KWJ,Gwangju,Mediumairport, South Korea, Gwangju
,KWK,Kwigillingok Seaplane Base,Closed, United States, Kwigillingok
ZGKL,KWL,Guilin Liangjiang International,Largeairport, China, Guilin City
YKOW,KWM,Kowanyama,Mediumairport, Australia, Kowanyama
PAQH,KWN,Quinhagak,Smallairport, United States, Quinhagak
AYKW,KWO,Kawito,Smallairport, Papua New Guinea, Kawito
KWP,KWP,West Point Village,Seaplanebase, United States, West Point
,KWR,Kwai Harbour,Closed, Solomon Islands, Kwai Harbour
AGKW,KWS,Kwailabesi,Smallairport, Solomon Islands, Kwailabesi
PFKW,KWT,Kwethluk,Smallairport, United States, Kwethluk
,KWV,Kurwina,Closed, Papua New Guinea, Kurwina
,KWX,Kiwai,Closed, Papua New Guinea, Kiwai Island
,KWY,Kiwayu,Mediumairport, Kenya, Kiwayu
FZQM,KWZ,Kolwezi,Mediumairport, Congo (Kinshasa),
KXA,KXA,Kasaan,Seaplanebase, United States, Kasaan
FAKD,KXE,P C Pelser,Mediumairport, South Africa, Klerksdorp
NFNO,KXF,Koro Island,Smallairport, Fiji, Koro Island
UHKK,KXK,Komsomolsk-on-Amur,Mediumairport, Russia, Komsomolsk-on-Amur
,KXR,Karoola,Closed, Papua New Guinea, Buka Island
NTKT,KXU,Katiu,Smallairport, French Polynesia, Katiu
LTAN,KYA,Konya,Mediumairport, Turkey, Konya
,KYB,Yangoonabie,Closed, Australia, Yangoonabie
RCLY,KYD,Lanyu,Mediumairport, Taiwan, Orchid Island
OLKA,KYE,Rene Mouawad Air Base,Mediumairport, Lebanon, Tripoli
YYLR,KYF,[Duplicate] Yeelirrie,Smallairport, Australia, Yeelirrie
YYTA,KYI,Yalata Mission,Smallairport, Australia, Yalata Mission
PAKY,KYK,Karluk,Smallairport, United States, Karluk
,KYL,Port Largo,Closed, United States, Key Largo
,KYN,Milton Keynes,Closed, United Kingdom, Milton Keynes
X39,KYO,Tampa North Aero Park,Smallairport, United States, Tampa
VYKP,KYP,Kyaukpyu,Mediumairport, Burma, Kyaukpyu
GAKY,KYS,Kayes Dag Dag,Mediumairport, Mali,
VYKU,KYT,Kyauktu,Smallairport, Burma, Kyauktu
PFKU,KYU,Koyukuk,Smallairport, United States, Koyukuk
AYYE,KYX,Yalumet,Smallairport, Papua New Guinea, Yalumet
UNKY,KYZ,Kyzyl,Mediumairport, Russia, Kyzyl
,KZB,Zachar Bay Seaplane Base,Closed, United States, Zachar Bay
VDKH,KZC,Kampong Chhnang,Mediumairport, Cambodia, Kampong Chhnang
VDSY,KZD,Krakor,Smallairport, Cambodia, Krakor
AYKT,KZF,Kaintiba,Smallairport, Papua New Guinea, Kaintiba
,KZG,Kitzingen,Closed, Germany, Kitzingen
,KZH,Kizhuyak,Closed, United States, Kizhuyak
LGKZ,KZI,Filippos,Mediumairport, Greece, Kozani
,KZK,Kompong Thom,Closed, Cambodia, Kompong Thom
UWKD,KZN,Kazan International,Largeairport, Russia, Kazan
UAOO,KZO,Kzyl-Orda Southwest,Smallairport, Kazakhstan, Kzyl-Orda
LTBZ,KZR,Zafer,Smallairport, Turkey, Altıntaş
LGKJ,KZS,Kastelorizo,Smallairport, Greece, Kastelorizo Island
KLAA,LAA,Lamar Municipal,Smallairport, United States, Lamar
AYLB,LAB,Lab Lab,Smallairport, Papua New Guinea, Lab Lab Mission
,LAC,Layang-Layang,Smallairport, China, Spratley Islands
FNLU,LAD,Quatro de Fevereiro,Mediumairport, Angola, Luanda
AYNZ,LAE,Nadzab,Mediumairport, Papua New Guinea, Lae
KLAF,LAF,Purdue University,Mediumairport, United States, Lafayette
,LAG,La Guaira,Smallairport, Venezuela, La Guaira
WAPH,LAH,"Oesman Sadik, Labuha",Smallairport, Indonesia, Labuha-Halmahera Island
LFRO,LAI,Lannion-Côte de Granit,Mediumairport, France, Lannion
SBLJ,LAJ,Lages,Mediumairport, Brazil, Lages
CYKD,LAK,Aklavik/Freddie Carmichael,Mediumairport, Canada, Aklavik
KLAL,LAL,Lakeland Linder Regional,Mediumairport, United States, Lakeland
KLAM,LAM,Los Alamos,Smallairport, United States, Los Alamos
KLAN,LAN,Capital City,Mediumairport, United States, Lansing
RPLI,LAO,Laoag International,Mediumairport, Philippines, Laoag City
MMLP,LAP,Manuel Márquez de León International,Mediumairport, Mexico, La Paz
HLLQ,LAQ,La Abraq,Mediumairport, Libya, Al Bayda'
KLAR,LAR,Laramie Regional,Mediumairport, United States, Laramie
KLAS,LAS,McCarran International,Largeairport, United States, Las Vegas
HKLU,LAU,Manda Airstrip,Mediumairport, Kenya, Lamu
,LAV,Lalomalava,Closed, Samoa, Lalomalava
KLAW,LAW,Lawton Fort Sill Regional,Mediumairport, United States, Lawton
KLAX,LAX,Los Angeles International,Largeairport, United States, Los Angeles
FALY,LAY,Ladysmith,Mediumairport, South Africa, Ladysmith
SBLP,LAZ,Bom Jesus da Lapa,Mediumairport, Brazil, Bom Jesus Da Lapa
EGNM,LBA,Leeds Bradford,Largeairport, United Kingdom, Leeds
KLBB,LBB,Lubbock Preston Smith International,Largeairport, United States, Lubbock
EDHL,LBC,Lübeck Blankensee,Mediumairport, Germany, Lübeck
UTDL,LBD,Khudzhand,Mediumairport, Tajikistan, Khudzhand
KLBE,LBE,Arnold Palmer Regional,Mediumairport, United States, Latrobe
KLBF,LBF,North Platte Regional Lee Bird Field,Mediumairport, United States, North Platte
LFPB,LBG,Paris-Le Bourget,Mediumairport, France, Paris
,LBH,Palm Beach,Seaplanebase, Australia, Sydney
LFCI,LBI,Albi-Le Séquestre,Mediumairport, France, Albi/Le Séquestre
WATO,LBJ,Komodo (Mutiara II),Smallairport, Indonesia, Labuan Bajo-Flores Island
,LBK,Liboi,Smallairport, Kenya, Liboi
KLBL,LBL,Liberal Mid-America Regional,Mediumairport, United States, Liberal
,LBM,Luabo,Closed, Mozambique, Luabo
,LBN,Lake Baringo,Smallairport, Kenya, Lake Baringo
FZVI,LBO,Lusambo,Smallairport, Congo (Kinshasa), Lusambo
,LBP,Long Banga,Smallairport, Malaysia, Long Banga
FOGR,LBQ,Lambarene,Mediumairport, Gabon, Lambarene
SWLB,LBR,Lábrea,Smallairport, Brazil, Lábrea
NFNL,LBS,Labasa,Mediumairport, Fiji,
KLBT,LBT,Lumberton Regional,Mediumairport, United States, Lumberton
WBKL,LBU,Labuan,Mediumairport, Malaysia, Labuan
FOOL,LBV,Libreville Leon M'ba International,Mediumairport, Gabon, Libreville
WALB,LBW,Long Bawan,Smallairport, Indonesia, Long Bawan-Borneo Island
RPLU,LBX,Lubang,Mediumairport, Philippines,
LFRE,LBY,La Baule-Escoublac,Mediumairport, France, La Baule-Escoublac
FNLK,LBZ,Lucapa,Smallairport, Angola, Lucapa
LCLK,LCA,Larnaca International,Largeairport, Cyprus, Larnarca
SWBG,LCB,Pontes e Lacerda,Smallairport, Brazil, Pontes e Lacerda
LIBN,LCC,Lecce Galatina Air Base,Mediumairport, Italy,
FALO,LCD,Louis Trichardt,Smallairport, South Africa, Louis Trichardt
MHLC,LCE,Goloson International,Mediumairport, Honduras, La Ceiba
MGRD,LCF,El Naranjo,Closed, Guatemala, El Naranjo
LECO,LCG,A Coruña,Mediumairport, Spain, Culleredo
KLCH,LCH,Lake Charles Regional,Mediumairport, United States, Lake Charles
KLCI,LCI,Laconia Municipal,Smallairport, United States, Laconia
EPLL,LCJ,Łódź Władysław Reymont,Mediumairport, Poland, Łódź
KLCK,LCK,Rickenbacker International,Largeairport, United States, Columbus
MULM,LCL,La Coloma,Mediumairport, Cuba, Pinar del Rio
SACC,LCM,La Cumbre,Smallairport, Argentina, La Cumbre
YBLC,LCN,Balcanoona,Smallairport, Australia,
FCBL,LCO,Lague,Smallairport, Congo (Brazzaville), Lague
,LCP,Loncopue,Smallairport, Argentina, Loncopue
KLCQ,LCQ,Lake City Gateway,Smallairport, United States, Lake City
,LCR,La Chorrera,Smallairport, Colombia, La Chorrera
,LCS,Las Canas,Closed, Costa Rica, Las Canas
LIQL,LCV,Lucca-Tassignano,Smallairport, Italy, Lucca
ZSLD,LCX,Longyan Guanzhishan,Mediumairport, China, Longyan
EGLC,LCY,London City,Mediumairport, United Kingdom, London
VEMH,LDA,Malda,Smallairport, India, Malda
SBLO,LDB,Governador José Richa,Mediumairport, Brazil, Londrina
YLIN,LDC,Lindeman Island,Smallairport, Australia, Lindeman Island
LFBT,LDE,Tarbes-Lourdes-Pyrénées,Mediumairport, France, Tarbes/Lourdes/Pyrénées
ULAL,LDG,Leshukonskoye,Smallairport, Russia, Leshukonskoye
YLHI,LDH,Lord Howe Island,Smallairport, Australia, Lord Howe Island
HTLI,LDI,Kikwetu,Smallairport, Tanzania, Lindi
KLDJ,LDJ,Linden,Smallairport, United States, Linden
ESGL,LDK,Lidköping-Hovby,Closed, Sweden, Lidköping
KLDM,LDM,Mason County,Smallairport, United States, Ludington
VNLD,LDN,Lamidanda,Smallairport, Nepal, Lamidanda
SMDO,LDO,Ladouanie,Smallairport, Suriname, Aurora
,LDR,Lodar,Closed, Yemen, Lodar
ZYLD,LDS,Lindu,Mediumairport, China, Yichun
WBKD,LDU,Lahad Datu,Mediumairport, Malaysia, Lahad Datu
LFRJ,LDV,Landivisiau Air Base,Mediumairport, France, Landivisiau
,LDW,Lansdowne,Closed, Australia, Lansdowne Station
SOOM,LDX,Saint-Laurent-du-Maroni,Smallairport, French Guiana, Saint-Laurent-du-Maroni
EGAE,LDY,City of Derry,Mediumairport, United Kingdom, Derry
FALD,LDZ,Londolozi,Smallairport, South Africa, Londolozi
YPLM,LEA,Learmonth,Mediumairport, Australia, Exmouth
KLEB,LEB,Lebanon Municipal,Mediumairport, United States, Lebanon
SBLE,LEC,Coronel Horácio de Mattos,Smallairport, Brazil, Lençóis
ULLI,LED,Pulkovo,Largeairport, Russia, St. Petersburg
KLEE,LEE,Leesburg International,Mediumairport, United States, Leesburg
FXLK,LEF,Lebakeng,Smallairport, Lesotho, Lebakeng
,LEG,Aleg,Closed, Mauritania, Aleg
LFOH,LEH,Le Havre Octeville,Mediumairport, France, Le Havre/Octeville
LEAM,LEI,Almería International,Mediumairport, Spain, Almería
EDDP,LEJ,Leipzig/Halle,Largeairport, Germany, Leipzig
GULB,LEK,Tata,Smallairport, Guinea, Labé
YLEV,LEL,Lake Evella,Smallairport, Australia,
KLEM,LEM,Lemmon Municipal,Smallairport, United States, Lemmon
LELN,LEN,Leon,Mediumairport, Spain, León
,LEO,Lekoni,Closed, Gabon, Lekoni
SNDN,LEP,Leopoldina,Smallairport, Brazil, Leopoldina
EGHC,LEQ,Land's End,Mediumairport, United Kingdom, Land's End
YLST,LER,Leinster,Mediumairport, Australia,
FXLS,LES,Lesobeng,Smallairport, Lesotho, Lesobeng
SKLT,LET,Alfredo Vásquez Cobo International,Mediumairport, Colombia, Leticia
LESU,LEU,Pirineus - la Seu d'Urgel,Smallairport, Spain, La Seu d'Urgell Pyrenees and Andorra
NFNB,LEV,Levuka Airfield,Smallairport, Fiji, Bureta
KLEW,LEW,Auburn Lewiston Municipal,Smallairport, United States, Auburn/Lewiston
KLEX,LEX,Blue Grass,Largeairport, United States, Lexington
EHLE,LEY,Lelystad,Mediumairport, Netherlands, Lelystad
MHLE,LEZ,La Esperanza,Smallairport, Honduras, La Esperanza
FQLU,LFB,Lumbo,Smallairport, Mozambique, Lumbo
KLFI,LFI,Langley Air Force Base,Largeairport, United States, Hampton
KLFK,LFK,Angelina County,Mediumairport, United States, Lufkin
OISR,LFM,Lamerd,Smallairport, Iran, Lamerd
KLHZ,LFN,Triangle North Executive,Smallairport, United States, Louisburg
HAKL,LFO,Kelafo East,Smallairport, Ethiopia, Kelafo
YLFD,LFP,Lakefield,Smallairport, Australia, Lakefield
SVLF,LFR,La Fria,Mediumairport, Venezuela,
KLFT,LFT,Lafayette Regional,Largeairport, United States, Lafayette
DXXX,LFW,Lomé-Tokoin,Mediumairport, Togo, Lomé
KLGA,LGA,La Guardia,Largeairport, United States, New York
KLGB,LGB,Long Beach /Daugherty Field/,Mediumairport, United States, Long Beach
KLGC,LGC,Lagrange Callaway,Smallairport, United States, Lagrange
KLGD,LGD,La Grande/Union County,Smallairport, United States, La Grande
,LGE,Mulan,Closed, Australia, Lake Gregory
KLGF,LGF,Laguna Army Airfield,Smallairport, United States, Yuma Proving Ground(Yuma)
EBLG,LGG,Liège,Largeairport, Belgium, Liège
YLEC,LGH,Leigh Creek,Mediumairport, Australia,
MYLD,LGI,Deadman's Cay,Mediumairport, Bahamas, Deadman's Cay
WMKL,LGK,Langkawi International,Mediumairport, Malaysia, Langkawi
WBGF,LGL,Long Lellang,Smallairport, Malaysia, Long Datih
,LGM,Laiagam,Closed, Papua New Guinea, Laiagam
AYLL,LGN,Linga Linga,Smallairport, Papua New Guinea, Linga Linga
EDWL,LGO,Langeoog,Smallairport, Germany, Langeoog
RPLP,LGP,Legazpi City International,Mediumairport, Philippines, Legazpi City
SENL,LGQ,Nueva Loja,Smallairport, Ecuador, Lago Agrio
SCHR,LGR,Cochrane,Mediumairport, Chile, Cochrane
SAMM,LGS,Comodoro D.R. Salomón,Mediumairport, Argentina, Malargue
SKGA,LGT,La Gaviota,Smallairport, Colombia,
KLGU,LGU,Logan-Cache,Mediumairport, United States, Logan
EGKK,LGW,London Gatwick,Largeairport, United Kingdom, London
HCMJ,LGX,Lugh Ganane,Smallairport, Somalia, Luuq
,LGY,Lagunillas,Smallairport, Venezuela, Lagunillas
,LGZ,Leguizamo,Closed, Colombia, Leguizamo
EDTL,LHA,Lahr,Mediumairport, Germany,
,LHB,Lost Harbor Sea Port,Closed, United States, Lost Harbor
KLHC,LHC,Arlington Municipal,Closed, United States, Arlington
OPLA,LHE,Alama Iqbal International,Mediumairport, Pakistan, Lahore
YLRD,LHG,Lightning Ridge,Mediumairport, Australia,
WAJL,LHI,Lereh,Smallairport, Indonesia, Lereh-Papua Island
ZHGH,LHK,Guangzhou MR Air Base,Mediumairport, China, Guanghua
,LHN,Lishan,Closed, Taiwan, Lishan
,LHP,Lehu,Closed, Papua New Guinea, Lehu
EGLL,LHR,London Heathrow,Largeairport, United Kingdom, London
SAVH,LHS,Las Heras,Mediumairport, Argentina, Las Heras
FYLS,LHU,Lianshulu,Smallairport, Namibia, Lianshulu Lodge
KLHV,LHV,William T. Piper Memorial,Smallairport, United States, Lock Haven
ZLLL,LHW,Lanzhou City,Mediumairport, China, Lanzhou
ZULP,LIA,Liangping,Smallairport, China, Liangping
YLIM,LIB,Limbunya,Airport, Australia, Limbunya
KLIC,LIC,Limon Municipal,Smallairport, United States, Limon
EHVB,LID,Valkenburg Naval Air Base,Closed, Netherlands, Leiden
FZFA,LIE,Libenge,Smallairport, Congo (Kinshasa), Libenge
NWWL,LIF,Lifou,Mediumairport, New Caledonia, Lifou
LFBL,LIG,Limoges,Mediumairport, France, Limoges/Bellegarde
PHLI,LIH,Lihue,Mediumairport, United States, Lihue
WAJM,LII,Mulia,Smallairport, Indonesia, Mulia-Papua Island
,LIJ,Long Island,Closed, United States, Long Island
,LIK,Likiep,Smallairport, Marshall Islands, Likiep Island
LFQQ,LIL,Lille-Lesquin,Mediumairport, France, Lille/Lesquin
SPJC,LIM,Jorge Chávez International,Largeairport, Perú, Lima
LIML,LIN,Milano Linate,Largeairport, Italy, Milan
MRLM,LIO,Limon International,Mediumairport, Costa Rica, Puerto Limon
SWXQ,LIP,Lins,Mediumairport, Brazil, Lins
FZGA,LIQ,Lisala,Mediumairport, Congo (Kinshasa),
MRLB,LIR,Daniel Oduber Quiros International,Mediumairport, Costa Rica, Liberia
LPPT,LIS,Lisbon Portela,Largeairport, Portugal, Lisbon
KLIT,LIT,Bill & Hillary Clinton National/Adams Field,Largeairport, United States, Little Rock
,LIU,Linosa Heliport,Closed, Italy, Linosa
4AK,LIV,Livengood Camp,Smallairport, United States, Livengood
VYLK,LIW,Loikaw,Mediumairport, Burma, Loikaw
FWLK,LIX,Likoma Island,Smallairport, Malawi, Likoma Island
KLHW,LIY,Wright AAF (Fort Stewart)/Midcoast Regional,Smallairport, United States, Fort Stewart(Hinesville)
ME16,LIZ,Loring International,Smallairport, United States, Limestone
FZVA,LJA,Lodja,Smallairport, Congo (Kinshasa), Lodja
ZPLJ,LJG,Lijiang,Mediumairport, China, Lijiang
KLBX,LJN,Texas Gulf Coast Regional,Mediumairport, United States, Angleton/Lake Jackson
LJLJ,LJU,Ljubljana Jože Pučnik,Largeairport, Slovenia, Ljubljana
WATL,LKA,Gewayentana,Smallairport, Indonesia, Larantuka-Flores Island
NFNK,LKB,Lakeba Island,Smallairport, Fiji, Lakeba Island
,LKC,Lekana,Smallairport, Congo (Brazzaville), Lekana
YLND,LKD,Lakeland,Smallairport, Australia, Lakeland Downs
W55,LKE,Kenmore Air Harbor,Seaplanebase, United States, Seattle
HKLK,LKG,Lokichoggio,Mediumairport, Kenya, Lokichoggio
WBGL,LKH,Long Akah,Smallairport, Malaysia, Long Akah
,LKI,Lakeside USAF,Closed, United States," Duluth, MN"
PAKL,LKK,Kulik Lake,Smallairport, United States, Kulik Lake
ENNA,LKL,Banak,Mediumairport, Norway, Lakselv
ENLK,LKN,Leknes,Mediumairport, Norway, Leknes
VILK,LKO,Chaudhary Charan Singh International,Mediumairport, India, Lucknow
KLKP,LKP,Lake Placid,Smallairport, United States, Lake Placid
,LKR,Las Khoreh,Closed, Somalia, Las Khoreh
,LKS,Lakeside,Closed, United States, Lakeside
,LKT,Lakota,Closed, Côte d'Ivoire, Lakota
,LKU,Lake Rudolf,Smallairport, Kenya, Lake Rudolf
KLKV,LKV,Lake County,Smallairport, United States, Lakeview
OOLK,LKW,Lekhwair,Smallairport, Oman,
HTLM,LKY,Lake Manyara,Mediumairport, Tanzania, Lake Manyara National Park
EGUL,LKZ,RAF Lakenheath,Largeairport, United Kingdom, Lakenheath
ESPA,LLA,Luleå,Largeairport, Sweden, Luleå
FAMN,LLE,Riverside,Mediumairport, South Africa, Malelane
ZGLG,LLF,Lingling,Mediumairport, China, Yongzhou
YCGO,LLG,Chillagoe,Smallairport, Australia,
,LLH,Reginaldo Hammer,Smallairport, Honduras, La Lima
HALL,LLI,Lalibella,Smallairport, Ethiopia, Lalibela
VGLM,LLJ,Lalmonirhat,Smallairport, Bangladesh, Lalmonirhat
UBBL,LLK,Lankaran International,Smallairport, Azerbaijan, Lankaran
,LLL,Lissadell,Closed, Australia, Lissadell Station
,LLM,Long Lama,Closed, Malaysia, Long Lama
,LLN,Kelila,Smallairport, Indonesia, Kelila-Papua Island
,LLP,Linda Downs,Closed, Australia, Linda Downs
SATK,LLS,Alferez Armando Rodriguez,Smallairport, Argentina, Las Lomitas
BGAP,LLU,Alluitsup Paa,Heliport, Greenland, Alluitsup Paa
FWKI,LLW,Lilongwe International,Mediumairport, Malawi, Lilongwe
KCDA,LLX,Caledonia County,Smallairport, United States, Lyndonville
KVAY,LLY,South Jersey Regional,Smallairport, United States, Mount Holly
,LMA,Lake Minchumina,Closed, United States, Lake Minchumina
FWSM,LMB,Salima,Smallairport, Malawi, Salima
SKNA,LMC,La Macarena,Smallairport, Colombia, La Macarena
,LMD,Los Menucos,Smallairport, Argentina, Los Menucos
LFRM,LME,Le Mans-Arnage,Mediumairport, France, Le Mans/Arnage
,LMG,Lamassa,Closed, Papua New Guinea, Lamassa
,LMH,Limon,Closed, Honduras, Limon
AYLU,LMI,Lumi,Smallairport, Papua New Guinea, Lumi
,LML,Lae Island,Smallairport, Marshall Islands, Lae Island
MMLM,LMM,Valle del Fuerte International,Mediumairport, Mexico, Los Mochis
WBGJ,LMN,Limbang,Mediumairport, Malaysia, Limbang
EGQS,LMO,RAF Lossiemouth,Mediumairport, United Kingdom, Lossiemouth
LICD,LMP,Lampedusa,Mediumairport, Italy, Lampedusa
HLMB,LMQ,Marsa Brega,Mediumairport, Libya,
FALC,LMR,Lime Acres Finsch Mine,Mediumairport, South Africa, Lime Acres
KLMS,LMS,Louisville Winston County,Smallairport, United States, Louisville
KLMT,LMT,Crater Lake-Klamath Regional,Mediumairport, United States, Klamath Falls
,LMX,Lopez De Micay,Closed, Colombia, Lopez De Micay
AYLM,LMY,Lake Murray,Smallairport, Papua New Guinea, Lake Murray
,LMZ,Palma,Closed, Mozambique, Palma
KLNA,LNA,Palm Beach County Park,Smallairport, United States, West Palm Beach
NVSM,LNB,Lamen Bay,Smallairport, Vanuatu, Lamen Bay
AYLT,LNC,Lengbati,Smallairport, Papua New Guinea,
KLND,LND,Hunt Field,Mediumairport, United States, Lander
NVSO,LNE,Lonorore,Smallairport, Vanuatu, Lonorore
,LNF,Munbil,Smallairport, Papua New Guinea,
AYLS,LNG,Lese,Smallairport, Papua New Guinea, Lese
YLKN,LNH,Lake Nash,Smallairport, Australia, Alpurrurulam
PALN,LNI,Lonely Air Station,Smallairport, United States, Lonely
ZPLC,LNJ,Lintsang Airfield,Mediumairport, China, Lincang
KLNK,LNK,Lincoln,Mediumairport, United States, Lincoln
AYLN,LNM,Langimar,Smallairport, Papua New Guinea,
KLNN,LNN,Willoughby Lost Nation Municipal,Smallairport, United States, Willoughby
YLEO,LNO,Leonora,Mediumairport, Australia, Leonora
KLNP,LNP,Lonesome Pine,Smallairport, United States, Wise
,LNQ,Loani,Closed, Papua New Guinea, Loani
KLNR,LNR,Tri-County Regional,Smallairport, United States, Lone Rock
KLNS,LNS,Lancaster,Mediumairport, United States, Lancaster
AYKY,LNV,Londolovit,Smallairport, Papua New Guinea, Londolovit
UUBS,LNX,Smolensk North,Mediumairport, Russia, Smolensk
PHNY,LNY,Lanai,Mediumairport, United States, Lanai City
LOWL,LNZ,Linz Hörsching,Mediumairport, Austria, Linz
YLOR,LOA,Lorraine,Smallairport, Australia,
SCAN,LOB,San Rafael,Smallairport, Chile, Los Andes
YLOK,LOC,Lock,Smallairport, Australia, Lock
NVSG,LOD,Longana,Smallairport, Vanuatu, Longana
VTUL,LOE,Loei,Mediumairport, Thailand,
,LOF,Loen,Closed, Marshall Islands, Loen Island
,LOG,Longview,Closed, United States, Longview
SETM,LOH,Camilo Ponce Enriquez,Smallairport, Ecuador, La Toma (Catamayo)
SSLN,LOI,Helmuth Baungarten,Smallairport, Brazil, Lontras
HKLO,LOK,Lodwar,Mediumairport, Kenya, Lodwar
KLOL,LOL,Derby Field,Mediumairport, United States, Lovelock
,LOM,Francisco Primo de Verdad y Ramos,Closed, Mexico, Lagos de Moreno
DAUL,LOO,Laghouat,Mediumairport, Algeria, Laghouat
WADL,LOP,Lombok International,Mediumairport, Indonesia, Mataram
FBLO,LOQ,Lobatse,Smallairport, Botswana, Lobatse
KLOR,LOR,Lowe AHP (Fort Rucker),Heliport, United States, Fort Rucker Ozark
