ICAO,IATA,NOM,TAILLE,PAYS,CITE
SADP,EPA,El Palomar,Mediumairport, Argentina, El Palomar
NE69,EPG,Browns,Smallairport, United States, Weeping Water
KEPH,EPH,Ephrata Municipal,Smallairport, United States, Ephrata
,EPI,Epi,Closed, Vanuatu, Epi
,EPK,Episkopi,Closed, Cyprus, Episkopi
LFSG,EPL,Épinal-Mirecourt,Mediumairport, France, Épinal/Mirecourt
,EPN,Epena,Closed, Congo (Brazzaville), Epena
YESP,EPR,Esperance,Mediumairport, Australia, Esperance
MDPO,EPS,Samana El Portillo,Smallairport, Dominican Republic, Samana
AYEL,EPT,Eliptamin,Smallairport, Papua New Guinea, Eliptamin
EEPU,EPU,Pärnu,Mediumairport, Estonia, Pärnu
SAVE,EQS,Brigadier Antonio Parodi,Mediumairport, Argentina, Esquel
HCMU,ERA,Erigavo,Smallairport, Somalia, Erigavo
YERN,ERB,Ernabella,Smallairport, Australia,
LTCD,ERC,Erzincan,Mediumairport, Turkey, Erzincan
UKDB,ERD,Berdyansk,Smallairport, Ukraine, Berdyansk
AYEV,ERE,Erave,Smallairport, Papua New Guinea, Erave
EDDE,ERF,Erfurt,Mediumairport, Germany, Erfurt
UIKE,ERG,Yerbogachen,Smallairport, Russia, Erbogachen
GMFK,ERH,Moulay Ali Cherif,Mediumairport, Morocco, Errachidia
KERI,ERI,Erie International Tom Ridge Field,Largeairport, United States, Erie
ZBER,ERL,Erenhot Saiwusu International,Mediumairport, China, Erenhot
SSER,ERM,Erechim,Smallairport, Brazil, Erechim
SWEI,ERN,Eirunepé,Smallairport, Brazil, Eirunepé
,ERO,Coast Guard,Closed, United States, Eldred Rock
KERR,ERR,Errol,Smallairport, United States, Errol
FYWE,ERS,Eros,Mediumairport, Namibia, Windhoek
,ERT,Erdenet,Smallairport, Mongolia, Erdenet
AYER,ERU,Erume,Smallairport, Papua New Guinea, Erume
KERV,ERV,Kerrville Municipal Louis Schreiner Field,Smallairport, United States, Kerrville
LTCE,ERZ,Erzurum International,Largeairport, Turkey, Erzurum
,ESA,Esa'ala,Smallairport, Papua New Guinea, Esa'ala
LTAC,ESB,Esenboğa International,Largeairport, Turkey, Ankara
KESC,ESC,Delta County,Smallairport, United States, Escanaba
KORS,ESD,Orcas Island,Smallairport, United States, Eastsound
MMES,ESE,Ensenada International,Smallairport, Mexico, Ensenada
KESF,ESF,Esler Regional,Mediumairport, United States, Alexandria
SGME,ESG,Dr. Luis Maria Argaña International,Mediumairport, Paraguay, Mariscal Estigarribia
EGKA,ESH,Shoreham,Mediumairport, United Kingdom, Brighton
SBEP,ESI,Espinosa,Smallairport, Brazil, Espinosa
LTBI,ESK,Eskişehir Air Base,Mediumairport, Turkey,
URWI,ESL,Elista,Mediumairport, Russia, Elista
SETN,ESM,General Rivadeneira,Smallairport, Ecuador, Tachina
KESN,ESN,Easton Newnam Field,Smallairport, United States, Easton
E14,ESO,Ohkay Owingeh,Smallairport, United States, Espanola
,ESP,Birchwood-Pocono,Closed, United States, East Stroudsburg
KN53,ESP,Stroudsburg Pocono,Smallairport, United States, East Stroudsburg
SCES,ESR,Ricardo García Posada,Mediumairport, Chile, El Salvador
EDLE,ESS,Essen Mulheim,Smallairport, Germany,
GMMI,ESU,Mogador,Smallairport, Morocco, Essaouira
KESW,ESW,Easton State,Smallairport, United States, Easton
KETB,ETB,West Bend Municipal,Heliport, United States, West Bend
,ETB,West Bend Municipal,Closed, United States, West Bend
YEDA,ETD,Etadunna,Smallairport, Australia, Etadunna
HAMM,ETE,Metema,Smallairport, Ethiopia, Metema
LLET,ETH,Eilat,Mediumairport, Israel, Eilat
SERO,ETR,Santa Rosa International,Mediumairport, Ecuador, Santa Rosa
LFJL,ETZ,Metz-Nancy-Lorraine,Mediumairport, France, Metz / Nancy
NFTE,EUA,Kaufana,Smallairport, Tonga, Eua Island
YECL,EUC,Eucla,Smallairport, Australia,
05U,EUE,Eureka,Smallairport, United States, Eureka
